Car,category1,category2,category3,category4
Toyota_Mirai,interior,exterior,family,
alfa romeo 147,storage,high-tech,mileage,safety
Mazda5,antique,high-tech,high-performance,economic
audi s8,modern,cozy,sporty,safety
Mercedes_CL-Class,modern,cozy,sporty,safety
alfa romeo 159,storage,high-tech,mileage,safety
Nissan_Juke,modern,cozy,sporty,safety
Mercedes_S-Class,antique,expensive,high-tech,economic
sudi s1,interior,exterior,family,
Mercedes_SLS_AMG,modern,cozy,sporty,safety
Mercedes_M-Class,antique,high-tech,high-performance,economic
Maserati_GranTurismo,interior,exterior,family,
Volvo_S60,compact,family,luxury,sporty
RollsRoyce_Phantom,storage,high-tech,mileage,safety
Volvo_C70,interior,exterior,family,
audi s6,compact,family,luxury,sporty
Mercedes_GL-Class,compact,family,luxury,sporty
Mercedes_E-Class,family,compact,luxury,sporty
audi s3,modern,cozy,sporty,safety
Volkswagen_Golf,family,compact,luxury,sporty
Maserati_GranCabrio,storage,high-tech,mileage,safety
alpina b6,storage,high-tech,mileage,safety
Nissan_370Z,family,compact,luxury,sporty
abarth 124,modern,cozy,sporty,safety
Mazda_CX-7,storage,high-tech,mileage,safety
kia niro,interior,exterior,family,
audi sq5,compact,family,luxury,sporty
audi rs7,family,compact,sporty,luxury
aston martin virage,storage,high-tech,mileage,safety
bmw 3series,interior,exterior,family,
Mazda3,antique,high-tech,high-performance,economic
jeep wrangler,storage,high-tech,mileage,safety
bentley flying spur,antique,high-tech,high-performance,economic
audi a8,compact,family,luxury,sporty
Lexus_LC,storage,high-tech,mileage,safety
Nissan_Qashqai+2,compact,family,luxury,sporty
alpina b4,compact,family,luxury,sporty
jaguar xj,compact,family,luxury,sporty
